precision_0.0,precision_1.0,precision_accuracy,precision_macro avg,precision_weighted avg,recall_0.0,recall_1.0,recall_accuracy,recall_macro avg,recall_weighted avg,f1-score_0.0,f1-score_1.0,f1-score_accuracy,f1-score_macro avg,f1-score_weighted avg,support_0.0,support_1.0,support_accuracy,support_macro avg,support_weighted avg
0.44537121906507793,0.5802395209580838,0.555443208628244,0.5128053700115809,0.5229920860392933,0.19290932189931714,0.8228215038650738,0.555443208628244,0.5078654128821954,0.555443208628244,0.2692115906698432,0.6805599283136761,0.555443208628244,0.4748857594917596,0.5059552446505001,25188.0,34152.0,0.555443208628244,59340.0,59340.0
0.44422935103244837,0.5799513321785037,0.5551398719245029,0.5120903416054761,0.5223415367436057,0.191321264094013,0.8234656828297026,0.5551398719245029,0.5073934734618578,0.5551398719245029,0.26745476745476743,0.6805817724214704,0.5551398719245029,0.4740182699381189,0.5052220993324695,25188.0,34152.0,0.5551398719245029,59340.0,59340.0
0.4461091437392173,0.5804622674695304,0.5555274688237277,0.5132857056043738,0.5234335097931043,0.19505319993647768,0.8213867416256735,0.5555274688237277,0.5082199707810756,0.5555274688237277,0.2714289660506616,0.680221632173038,0.5555274688237277,0.4758252991118498,0.5067017522557744,25188.0,34152.0,0.5555274688237277,59340.0,59340.0
0.4501824817518248,0.5813352625051674,0.5571115604988204,0.5157588721284961,0.5256627415345583,0.19587915359879313,0.8235483587596264,0.5571115604988204,0.5097137561792098,0.5571115604988204,0.27298127195773053,0.6815620797033842,0.5571115604988204,0.4772716758305574,0.5081252417137436,25189.0,34151.0,0.5571115604988204,59340.0,59340.0
0.451013664374386,0.5816837338761606,0.5570273003033367,0.5163486991252733,0.5262161170800669,0.20048433840168328,0.820005270709496,0.5570273003033367,0.5102448045555896,0.5570273003033367,0.2775792887374265,0.6805842467251562,0.5570273003033367,0.4790817677312913,0.5095142789672706,25189.0,34151.0,0.5570273003033367,59340.0,59340.0
0.4457809367596136,0.580345697390729,0.5554600606673408,0.5130633170751713,0.5232248386860245,0.19421175910119495,0.8219085824719627,0.5554600606673408,0.5080601707865788,0.5554600606673408,0.2705527749357078,0.680320418822788,0.5554600606673408,0.4754365968792479,0.5063797854916174,25189.0,34151.0,0.5554600606673408,59340.0,59340.0
0.451215088864708,0.581615333664514,0.5573811931243681,0.516415211264611,0.526262253680316,0.19754654809639127,0.8227870340546397,0.5573811931243681,0.5101667910755154,0.5573811931243681,0.2747880829444736,0.6814935183051793,0.5573811931243681,0.47814080062482645,0.5088527496617548,25189.0,34151.0,0.5573811931243681,59340.0,59340.0
0.456273079347924,0.5828306072102328,0.5591506572295247,0.5195518432790784,0.529108706817181,0.2011195363055302,0.8232262598459782,0.5591506572295247,0.5121728980757542,0.5591506572295247,0.27917998456960214,0.6824780307811817,0.5591506572295247,0.48082900767539194,0.5112836511717535,25189.0,34151.0,0.5591506572295247,59340.0,59340.0
0.44612856099342585,0.580412498966686,0.555628581058308,0.513270529980056,0.5234108455523205,0.19397355988725237,0.8223770899827237,0.555628581058308,0.5081753249349881,0.555628581058308,0.27038543482471433,0.6805267812791529,0.555628581058308,0.4754561080519336,0.5064275164351884,25189.0,34151.0,0.555628581058308,59340.0,59340.0
0.4481357768348831,0.5809539596369815,0.5561603667065504,0.5145448682359323,0.5245757869610137,0.19707797363824042,0.8210008491698633,0.5561603667065504,0.5090394114040518,0.5561603667065504,0.2737625810009651,0.6804266317207237,0.5561603667065504,0.47709460636084444,0.5078073744105351,25188.0,34151.0,0.5561603667065504,59339.0,59339.0
